nohup: ignoring input
wandb: [wandb.login()] Loaded credentials for https://api.wandb.ai from /home/anant/.netrc.
wandb: Currently logged in as: anant-jain (dcll-iiitd) to https://api.wandb.ai. Use `wandb login --relogin` to force relogin
wandb: setting up run bx0cymza
wandb: Tracking run with wandb version 0.29.0
wandb: Run data is saved locally in /home/anant/update-trinity/Trinity-opt-DSAA2026/wandb/run-20260909_065018-bx0cymza
wandb: Run `wandb offline` to turn off syncing.
wandb: Syncing run trinity
wandb: ⭐️ View project at https://wandb.ai/dcll-iiitd/transformer-trinity-optimizer-comparison-200-transformer
wandb: 🚀 View run at https://wandb.ai/dcll-iiitd/transformer-trinity-optimizer-comparison-200-transformer/runs/bx0cymza
[*] Generated Long-Tailed CIFAR-10 (Imbalance: 0.01). Total train samples: 12406
<sys>:0: UserWarning: Full backward hook is firing when gradients are computed with respect to module outputs since no inputs require gradients. See https://docs.pytorch.org/docs/main/generated/torch.nn.Module.html#torch.nn.Module.register_full_backward_hook for more details.
[trinity] Epoch 1/200 - Loss: 1.3431, Val Acc: 20.45%, Head: 25.56%, Med: 0.00%, Tail: 0.00%
[trinity] Epoch 199/200 - Loss: 1.2020, Val Acc: 22.75%, Head: 28.44%, Med: 0.00%, Tail: 0.00%
wandb: uploading data; updating run metadata
wandb: uploading output.log; uploading wandb-summary.json; uploading config.yaml
wandb: uploading history steps 199-199, summary, console lines 200-200
wandb: 
wandb: Run history:
wandb:        epoch ▁▁▁▁▁▂▂▂▂▂▂▂▃▃▃▃▃▄▄▄▄▅▅▅▅▅▅▆▆▆▆▇▇▇▇▇▇███
wandb:    train/acc █▂▅▆▇▆▆▇▄▄▃▄▁▃▄▁▂▂▁▂▄▄▄▅▅▅▅▅▆▅▇▇▆▇▇▇▇▇▇▇
wandb:   train/loss ▅▃▃▁▂▃▃▄▆▅▆█▇▆▆▆█▆▅▅▅▅▄▄▃▄▅▄▄▃▃▃▃▂▂▂▂▂▂▁
wandb:      val/acc ▃▇█▇▇██▅▄▅▄▇▁▄▆▆▅▅▅▄▅▅▆▂▅▇▇▅▇▅▄▆▇▆▇▇▇▇▇▇
wandb: val/head_acc ▂▃▆▂▄▆█▆▄▅▆▁▄▄▆▄▅▂▄▄▄▂▄▅▄▅▆▆▇▆▇▇▆▇▆▇▆▇▇▆
wandb:     val/loss ▂▂▄▄▁▂▄▂▇▅▁▄██▃▅▃▅▅▄▄▂▄▃▄▄▃▆▄▂▃▃▂▄▃▃▃▃▃▃
wandb:  val/med_acc ▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁
wandb: val/tail_acc ▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁
wandb: 
wandb: Run summary:
wandb:        epoch 200
wandb:    train/acc 57.44801
wandb:   train/loss 1.20959
wandb:      val/acc 22.79
wandb: val/head_acc 28.4875
wandb:     val/loss 2.67502
wandb:  val/med_acc 0
wandb: val/tail_acc 0
wandb: 
wandb: 🚀 View run trinity at: https://wandb.ai/dcll-iiitd/transformer-trinity-optimizer-comparison-200-transformer/runs/bx0cymza
wandb: ⭐️ View project at: https://wandb.ai/dcll-iiitd/transformer-trinity-optimizer-comparison-200-transformer
wandb: Synced 5 W&B file(s), 0 media file(s), 0 artifact file(s) and 0 other file(s)
wandb: Find logs at: ./wandb/run-20260909_065018-bx0cymza/logs
[trinity] Epoch 200/200 - Loss: 1.2096, Val Acc: 22.79%, Head: 28.49%, Med: 0.00%, Tail: 0.00%
